Hybrid: 4 Parents: 2 and 46	 0.987807 0.3236798660611491
Hybrid: 4 Parents: 2 and 47	 0.987813 0.3236767999882508
Hybrid: 4 Parents: 2 and 48	 0.987813 0.3236767999882508
Hybrid: 4 Parents: 2 and 49	 0.987819 0.3236739953536505
Hybrid: 4 Parents: 2 and 50	 1.320816 0.1867514531769536
Hybrid: 4 Parents: 2 and 51	 0.987819 0.3236739953536503
Hybrid: 4 Parents: 2 and 52	 0.987819 0.3236739953536503
Hybrid: 5 Parents: 2 and 6	 3.126119 0.0022015626011238
Hybrid: 6 Parents: 2 and 5	 3.126119 0.0022015626011238
Hybrid: 5 Parents: 2 and 7	 3.124418 0.0022123399251832
Hybrid: 7 Parents: 2 and 5	 3.124418 0.0022123399251832
Hybrid: 5 Parents: 2 and 8	 3.124418 0.0022123399251832
Hybrid: 8 Parents: 2 and 5	 3.124418 0.0022123399251832
Hybrid: 5 Parents: 2 and 9	 3.125387 0.0022061961329802
Hybrid: 9 Parents: 2 and 5	 3.125387 0.0022061961329802
Hybrid: 5 Parents: 2 and 10	 3.125387 0.0022061961329802
Hybrid: 10 Parents: 2 and 5	 3.125387 0.0022061961329802
Hybrid: 5 Parents: 2 and 11	 3.125493 0.0022055210739464
Hybrid: 11 Parents: 2 and 5	 3.125493 0.0022055210739464
Hybrid: 5 Parents: 2 and 12	 3.125387 0.0022061944318073
Hybrid: 12 Parents: 2 and 5	 3.125387 0.0022061944318073
Hybrid: 5 Parents: 2 and 13	 3.125808 0.0022035257457209
Hybrid: 13 Parents: 2 and 5	 3.125808 0.0022035257457209
Hybrid: 5 Parents: 2 and 14	 3.125912 0.0022028676420351
Hybrid: 14 Parents: 2 and 5	 3.125912 0.0022028676420351
Hybrid: 5 Parents: 2 and 15	 3.125704 0.0022041842131630
Hybrid: 15 Parents: 2 and 5	 3.125704 0.0022041842131630
Hybrid: 5 Parents: 2 and 16	 3.125599 0.0022048498779978
Hybrid: 16 Parents: 2 and 5	 3.125599 0.0022048498779978
Hybrid: 5 Parents: 2 and 17	 3.125599 0.0022048532795553
Hybrid: 17 Parents: 2 and 5	 3.125599 0.0022048532795553
Hybrid: 5 Parents: 2 and 18	 3.125493 0.0022055227748086
Hybrid: 18 Parents: 2 and 5	 3.125493 0.0022055227748086
Hybrid: 5 Parents: 2 and 19	 3.125704 0.0022041876141055
Hybrid: 19 Parents: 2 and 5	 3.125704 0.0022041876141055
Hybrid: 5 Parents: 2 and 20	 3.125599 0.0022048532795553
Hybrid: 20 Parents: 2 and 5	 3.125599 0.0022048532795553
Hybrid: 5 Parents: 2 and 21	 3.125704 0.0022041876141055
Hybrid: 21 Parents: 2 and 5	 3.125704 0.0022041876141055
Hybrid: 5 Parents: 2 and 22	 3.125493 0.0022055227748086
Hybrid: 22 Parents: 2 and 5	 3.125493 0.0022055227748086
Hybrid: 5 Parents: 2 and 23	 1.375277 0.1691300261380249
Hybrid: 5 Parents: 2 and 24	 1.694582 0.0897380526579434
Hybrid: 5 Parents: 2 and 25	 0.952021 0.3414819375925071
Hybrid: 5 Parents: 2 and 26	 1.375578 0.1690362118152440
Hybrid: 5 Parents: 2 and 27	 1.375511 0.1690572205892735
Hybrid: 5 Parents: 2 and 28	 1.375528 0.1690519101245391
Hybrid: 5 Parents: 2 and 29	 0.952015 0.3414846444882875
Hybrid: 5 Parents: 2 and 30	 1.375493 0.1690625706251738
Hybrid: 5 Parents: 2 and 31	 0.951965 0.3415099424003181
Hybrid: 5 Parents: 2 and 32	 0.568350 0.5693876009445553
Hybrid: 5 Parents: 2 and 33	 0.952062 0.3414609826863411
Hybrid: 5 Parents: 2 and 34	 0.952057 0.3414635359327340
Hybrid: 5 Parents: 2 and 35	 0.952067 0.3414584477218112
Hybrid: 5 Parents: 2 and 36	 0.568336 0.5693973514550064
Hybrid: 5 Parents: 2 and 37	 0.952047 0.3414686980679349
Hybrid: 5 Parents: 2 and 38	 0.690748 0.4895585896175376
Hybrid: 38 Parents: 2 and 5	 0.690748 0.4895585896175376
Hybrid: 5 Parents: 2 and 39	 0.952057 0.3414635359327340
Hybrid: 5 Parents: 2 and 40	 0.690736 0.4895660139303568
Hybrid: 40 Parents: 2 and 5	 0.690736 0.4895660139303568
Hybrid: 5 Parents: 2 and 41	 3.107510 0.0023223206336977
Hybrid: 41 Parents: 2 and 5	 3.107510 0.0023223206336977
Hybrid: 5 Parents: 2 and 42	 3.107283 0.0023238384312798
Hybrid: 42 Parents: 2 and 5	 3.107283 0.0023238384312798
Hybrid: 5 Parents: 2 and 43	 3.105327 0.0023369115972400
Hybrid: 43 Parents: 2 and 5	 3.105327 0.0023369115972400
